review_type,sort_type,writing_date,star_rating,comment,upvote,downvote,site
viewer,like,2019.05.31. 16:20,별점(10점 만점 중)7,소재는 좋으나 일반인 관객이 보기엔 다소 불편한 장면들이 있을수 있습니다.,41,8,naver
viewer,like,2019.06.14. 21:56,별점(10점 만점 중)6,기대보다 별로엿음 공감이 안가고 억지스러움,46,13,naver
viewer,like,2019.06.04. 12:02,별점(10점 만점 중)1,계층간을 대비시켜 보여주면서 뭘 어쩌라는 건지 재미없고 답답한 영화. 어디가 빵터지나..,58,25,naver
viewer,like,2020.03.27. 12:32,별점(10점 만점 중)10,첨부터 끝까지 긴장의 끈을 놓지 않고 몰입감있게 볼수 있었네요. 조여정님 너무 이뻣고 송강호씨 연기는 이미 검증됐던바 외 모든 주 조연 배우들의 멋진 연기 좋았어요 이런 스토리를 만든 봉감독님도 대단한 스토리텔러임에 분명합니다.,50,18,naver
viewer,like,2019.06.27. 23:42,별점(10점 만점 중)1,난노잼 이였음 범죄자가 범죄자를 키우는,56,24,naver
viewer,like,2019.06.02. 20:18,별점(10점 만점 중)6,찝찝함이 계속 머무는 영화,33,3,naver
viewer,like,2020.03.06. 20:58,별점(10점 만점 중)10,공포영화보다 무서운 영화,37,7,naver
viewer,like,2020.03.12. 12:11,별점(10점 만점 중)10,올라가는 존재와 내려갈 수밖에 없는 존재가 있다,46,16,naver
viewer,like,2020.05.16. 22:23,별점(10점 만점 중)8,혼자 감상했습니다 .가정부 아주머니가 벨 누르면서부터 무서워서 조금 혼났네요ㅋㅋ 오전에 보았는데 예상치 못한 스토리들의 전개로 몰입하여 아주 잘 봤습니다. 우리나라의 빈부격차의 민낯을 적나라하게 보여주는 것 같아서 놀랬고 사실적이어서 ...,49,19,naver
viewer,like,2019.06.15. 16:03,별점(10점 만점 중)10,"간간히 웃으면서 봤지만 영화가 계속 될수록 마음이 무거워졌다. 반지하, 지하로 표현된 자본주의 사회 계급안에서 누구에게나 공평한 줄 알았던 자연인 햇볕,비조차도 공평하지 않아서..",31,3,naver
viewer,like,2019.06.12. 16:19,별점(10점 만점 중)2,이 영화가 왜 19금이 아닌지 보는 내내 불편했다. 영화관 앞좌석에 초등생 남매가 나와 같은 장면을 보고있고...,32,4,naver
viewer,like,2019.06.05. 20:52,별점(10점 만점 중)4,"내 스타일은 아님.. 딱히 문학적인 소재를 원한 것도 아니었고, 그 마저도 내가 추구하는 문학적인 영역도 아니고.. 메세지를 주려는 건 알겠으나.. 굳이..?",38,10,naver
viewer,like,2021.04.11. 18:58,별점(10점 만점 중)10,지하실의 쾌쾌한 냄새가 돋는 영화,43,15,naver
viewer,like,2019.06.02. 17:07,별점(10점 만점 중)10,계단을 내려가고 하염없이 내려가고 더 내려가야 그들의 집에 갈수 있다,27,0,naver
viewer,like,2019.06.03. 22:02,별점(10점 만점 중)8,"몇몇 장면때문이 아니라, 영화에 흐르는 현실감 때문에 15세가 넘어도 살짝 감당 하기 어려운 영화",29,2,naver
viewer,like,2020.03.06. 20:31,별점(10점 만점 중)8,이 영화가 어떻게 15세 관람가 판정을 받은 걸까요..그걸 떠나서는 인상적이었고 잘 봤습니다.. 저는 충격이 커서 다시 재미로 보긴 어려울 것 같아요. 왜 상을 받고 사람들이 열광하는지는 알겠어요.,31,4,naver
viewer,like,2020.03.19. 15:47,별점(10점 만점 중)10,모든것이 완벽한영화였습니다,44,17,naver
viewer,like,2019.06.02. 22:09,별점(10점 만점 중)2,"가족들이랑 봤는데,,,상당히 불쾌했다이걸 15세등급이라,,,헐~~민망한 장면을 그렇게 자세히 묘사할 필요가 있을까??그리고,,돌로 머리를 내려 찍는  십원짜리 욕이 다나왔다!!!!과연 학생들이 보고난뒤 뭐가 생각이날까??",45,18,naver
viewer,like,2019.05.30. 16:28,별점(10점 만점 중)1,불쾌하다. 냉소적인 시선을 갖게 하는 영화. 세상 쓰잘데기 없는 시선을 모두에게 선사하는 영화.,73,46,naver
viewer,like,2019.06.03. 23:57,별점(10점 만점 중)9,"보고나면 하루종일 기분이 우울하고 생각이 많아지니 아침 말고 하루 끝에 보세요.,",26,0,naver
viewer,like,2019.06.13. 20:26,별점(10점 만점 중)8,쫌 먼가 기분이 불쾌했어용ㅜㅜㅜ,27,1,naver
viewer,like,2019.06.05. 16:22,별점(10점 만점 중)8,기대하고 갔는데 나올땐 뭔가 무겁고 찝찝함이 느껴지는 영화였다...,27,1,naver
viewer,like,2019.06.04. 21:26,별점(10점 만점 중)6,지루하지는 않은데..그렇게 재밌지도 않았어요ㅡㅡ,36,10,naver
viewer,like,2019.07.13. 19:53,별점(10점 만점 중)2,불쾌하고  짜증납니다 ㅠㅠ,38,12,naver
viewer,like,2019.06.05. 11:57,별점(10점 만점 중)1,뭥미다진짜ㅡㅡ 난영화평론가가아니니까,53,27,naver
viewer,like,2019.06.12. 11:20,별점(10점 만점 중)7,대세에 따라 봐야할 것 같아 숙제처럼 봤다. 몰입해서 끝까지 볼 수 있었지만.. 마지막 여운이 개운하지 않고 기분도 좋지 않음.,27,2,naver
viewer,like,2019.06.09. 15:56,별점(10점 만점 중)6,개인적인 느낌으론 초반 1시간은 그냥저냥 보는데후반 1시간은 왠지모르게 보는 내내 불편했습니다..뭔지는 모르지만 불편하고 불쾌하기도 하고..강렬한 여운은 있지만 저에게는 안맞는 영화네요..,29,4,naver
viewer,like,2020.02.01. 12:45,별점(10점 만점 중)10,재개봉하고나서 보게되었네요! 원래 영화끝나면 엔딩크레딧 못기다리는성격인데 끝나고나서 뭔가 여운이너무많이남아 한동안못일어났습니다...특히 마지막에 냄새때문에 코를막는모습을 본 송강호님의 표정연기는 최고네요,30,5,naver
viewer,like,2019.06.03. 23:04,별점(10점 만점 중)1,주제 의식은 알겠는데 ㅋㅋㅋ....네.... 이정은 배우님이 다 하심...,40,15,naver
viewer,like,2019.06.26. 15:22,별점(10점 만점 중)6,왜 내 돈 주고 스트레스를 받아야 할까.. 보고나서 씁쓸하고 비참해지는 것,28,4,naver
viewer,like,2019.06.09. 16:11,별점(10점 만점 중)7,글쎄 상받을 만한 작품인지는 모르겠네요 관점은 독특하지만 배우들 연기력도 평범했고 기억에 오래 남을 명작.. 이런거는 거리가 멀고.. 너무 기대했나 보네요,31,7,naver
viewer,like,2019.06.11. 15:14,별점(10점 만점 중)4,난진짜너무재미없엇다,36,12,naver
viewer,like,2020.03.12. 12:55,별점(10점 만점 중)10,재밌었어요.많은 생각을 하게 하는 영화.,39,15,naver
viewer,like,2020.05.06. 23:57,별점(10점 만점 중)9,"지금껏 본 영화 제목 중에 가장 함춤적, 획기적으로 잘 표현한 영화 제목 ""기생충""이란 이 제목 하나로 모든 게 정리되고 바쁜 일상으로 이리 치이고 저리 치여서 세뇌되듯 열심히 살기만 했는데영화 ""기생충""을 관람하고 난 뒤 잊고 있었던 이 시대 ...",53,29,naver
viewer,like,2019.06.04. 00:22,별점(10점 만점 중)8,"생각하면서 살지 않으면, 사는대로 생각하게 된다.",23,0,naver
